Token_list,Label_list,Token_length,Label_length
"('Steel', '101', 'Low carbon steel', 'Automobile components;Construction materials;Pipes and tubes', '22x33x1', 'sheet')","('Metal', 'Grade', 'Description', 'Common Uses', 'Dimensions', 'Shape')",6,6
"('Steel', '201', 'Medium carbon steel', 'Machine parts;Shafts;Gears', 'billlet')","('Metal', 'Grade', 'Description', 'Common Uses', 'Shape')",5,5
"('Steel', '301', 'High carbon steel', 'Springs;Cutlery;Tools', '10x10x10', 'plate')","('Metal', 'Grade', 'Description', 'Common Uses', 'Dimensions', 'shape')",6,6
"('Aluminum', '1100', 'Pure aluminum', 'Packaging;Utensils;Electrical transmission lines', 'bar', '20x20x20')","('Metal', 'Grade', 'Description', 'Common Uses', 'shape', 'Dimensions')",6,6
"('Aluminum', '2024', 'Aluminum-copper alloy', 'Aircraft structures;Fasteners;Wing skins')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Aluminum', '6061', 'Aluminum-magnesium-silicon alloy', 'Bicycle frames;Marine components;Automotive parts')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Copper', 'C101', 'Oxygen-free electronic copper', 'Electrical wires;Printed circuit boards;Transformer windings')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Copper', 'C110', 'Electrolytic tough pitch copper', 'Roofing;Plumbing tubes;Heat exchanger coils')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Copper', 'C360', 'Free-cutting brass', 'Valve stems;Fittings;Lock components')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Brass', '260', 'Cartridge brass', 'Ammunition casings;Musical instruments;Plumbing fittings', '40x10x2')","('Metal', 'Grade', 'Description', 'Common Uses', 'Dimensions')",5,5
"('Brass', '330', 'Low lead brass', 'Water meters;Sprinkler heads;Gas valves')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Brass', '360', 'Free-cutting brass', 'Screws;Nuts;Bolts')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Stainless Steel', '304', 'Austenitic stainless steel', 'Kitchen appliances;Food processing equipment;Architectural trim')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Stainless Steel', '316', 'Austenitic stainless steel with molybdenum', 'Chemical processing equipment;Medical implants;Marine hardware', '20x10x5', 'sheet')","('Metal', 'Grade', 'Description', 'Common Uses', 'Dimensions', 'shape')",6,6
"('Stainless Steel', '430', 'Ferritic stainless steel', 'Automotive trim;Dishwasher interiors;Indoor architectural features')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Titanium', 'Grade 1', 'Unalloyed titanium', 'Aircraft components;Orthopedic implants;Sporting goods')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Titanium', 'Grade 5', 'Titanium alloy (6% aluminum, 4% vanadium)', 'Aerospace components;Racing bikes;Dental implants')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Titanium', 'Grade 7', 'Titanium alloy (0.12% palladium)', 'Chemical processing equipment;Marine hardware;Heat exchangers')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Nickel', '200', 'Commercially pure nickel', 'Electroplating;Battery components;Chemical processing equipment')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Nickel', '201', 'Commercially pure nickel with low carbon', 'Electronic components;Resistance wire;Thermocouples')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Nickel', '400', 'Monel alloy (67% nickel, 28% copper)', 'Marine hardware;Oil and gas industry components;Valve trim')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Lead', '99.9', 'Pure lead', 'Battery terminals;Radiation shielding;Solder')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Lead', '99.5', 'Lead with antimony and other elements', 'Lead-acid batteries;Ballast weights;Fishing sinkers')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Lead', '98', 'Lead with tin and other elements', 'Printing type;Bearings;Fuse wire')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Zinc', 'SHG', 'Special high grade zinc', 'Galvanizing;Die casting;Chemical manufacturing')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Zinc', 'HG', 'High grade zinc', 'Roofing;Sheet metal fabrication;Coinage')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Zinc', 'CG', 'Continuous galvanizing grade zinc', 'Automotive body panels;Building materials;Wire coating')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Tin', '99.9', 'Pure tin', 'Solder;Food packaging;Electroplating')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Tin', '99.85', 'Tin with antimony', 'Bronze alloys;Bearing alloys;Babbitt metal')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Iron', 'Gray iron', 'High carbon iron with graphite flakes', 'Machined parts;Automotive engine blocks;Manhole covers')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Iron', 'Ductile iron', 'Iron with graphite nodules', 'Diesel engine blocks;Water pipes;Hydraulic cylinders')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Iron', 'Wrought iron', 'Almost pure iron with slag inclusions', 'Gates;Railings;Decorative fences')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Tungsten', 'Grade 1', 'Pure tungsten', 'Tungsten electrodes;Aerospace components;Electrical contacts')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Tungsten', 'Grade 2', 'Tungsten alloy (97.5% tungsten, 2.5% nickel and iron)', 'Military projectiles;Balance weights;Radiation shielding')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Tungsten', 'Grade 5', 'Tungsten alloy (90% tungsten, 6% nickel, 4% copper)', 'Aircraft ballast;Sporting goods;Dart tips')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Magnesium', 'AZ31', 'Magnesium alloy (3% aluminum, 1% zinc)', 'Aircraft seats;Portable electronics;Power tools')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Magnesium', 'AZ91', 'Magnesium alloy (9% aluminum, 1% zinc)', 'Automotive wheels;Camera bodies;Laptop cases')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Magnesium', 'HM21', 'Magnesium alloy (2% rare earth elements)', 'Military armor;Satellite components;Bicycle frames')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Nickel', 'Silver nickel', 'Nickel alloy (65% nickel, 12% chromium, 23% iron)', 'Gas turbine blades;Jet engine components;High-temperature fasteners')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
