Token_list,Label_list
"('Steel', '101', 'Low carbon steel', 'Automobile components;Construction materials;Pipes and tubes', '22x33x1', 'sheet')","('Metal', 'Grade', 'Description', 'Common Uses', 'Dimensions', 'Shape')"
"('Steel', '201', 'Medium carbon steel', 'Machine parts;Shafts;Gears', 'billlet')","('Metal', 'Grade', 'Description', 'Common Uses', 'Shape')"
"('Steel', '301', 'High carbon steel', 'Springs;Cutlery;Tools', '10x10x10', 'plate')","('Metal', 'Grade', 'Description', 'Common Uses', 'Dimensions', 'shape')"
"('Aluminum', '1100', 'Pure aluminum', 'Packaging;Utensils;Electrical transmission lines', 'bar', '20x20x20')","('Metal', 'Grade', 'Description', 'Common Uses', 'shape', 'Dimensions')"
"('Aluminum', '2024', 'Aluminum-copper alloy', 'Aircraft structures;Fasteners;Wing skins')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Aluminum', '6061', 'Aluminum-magnesium-silicon alloy', 'Bicycle frames;Marine components;Automotive parts')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Copper', 'C101', 'Oxygen-free electronic copper', 'Electrical wires;Printed circuit boards;Transformer windings')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Copper', 'C110', 'Electrolytic tough pitch copper', 'Roofing;Plumbing tubes;Heat exchanger coils')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Copper', 'C360', 'Free-cutting brass', 'Valve stems;Fittings;Lock components')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Brass', '260', 'Cartridge brass', 'Ammunition casings;Musical instruments;Plumbing fittings', '40x10x2')","('Metal', 'Grade', 'Description', 'Common Uses', 'Dimensions')"
"('Brass', '330', 'Low lead brass', 'Water meters;Sprinkler heads;Gas valves')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Brass', '360', 'Free-cutting brass', 'Screws;Nuts;Bolts')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Stainless Steel', '304', 'Austenitic stainless steel', 'Kitchen appliances;Food processing equipment;Architectural trim')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Stainless Steel', '316', 'Austenitic stainless steel with molybdenum', 'Chemical processing equipment;Medical implants;Marine hardware', '20x10x5', 'sheet')","('Metal', 'Grade', 'Description', 'Common Uses', 'Dimensions', 'shape')"
"('Stainless Steel', '430', 'Ferritic stainless steel', 'Automotive trim;Dishwasher interiors;Indoor architectural features')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Titanium', 'Grade 1', 'Unalloyed titanium', 'Aircraft components;Orthopedic implants;Sporting goods')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Titanium', 'Grade 5', 'Titanium alloy (6% aluminum, 4% vanadium)', 'Aerospace components;Racing bikes;Dental implants')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Titanium', 'Grade 7', 'Titanium alloy (0.12% palladium)', 'Chemical processing equipment;Marine hardware;Heat exchangers')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Nickel', '200', 'Commercially pure nickel', 'Electroplating;Battery components;Chemical processing equipment')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Nickel', '201', 'Commercially pure nickel with low carbon', 'Electronic components;Resistance wire;Thermocouples')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Nickel', '400', 'Monel alloy (67% nickel, 28% copper)', 'Marine hardware;Oil and gas industry components;Valve trim')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Lead', '99.9', 'Pure lead', 'Battery terminals;Radiation shielding;Solder')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Lead', '99.5', 'Lead with antimony and other elements', 'Lead-acid batteries;Ballast weights;Fishing sinkers')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Lead', '98', 'Lead with tin and other elements', 'Printing type;Bearings;Fuse wire')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Zinc', 'SHG', 'Special high grade zinc', 'Galvanizing;Die casting;Chemical manufacturing')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Zinc', 'HG', 'High grade zinc', 'Roofing;Sheet metal fabrication;Coinage')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Zinc', 'CG', 'Continuous galvanizing grade zinc', 'Automotive body panels;Building materials;Wire coating')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Tin', '99.9', 'Pure tin', 'Solder;Food packaging;Electroplating')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Tin', '99.85', 'Tin with antimony', 'Bronze alloys;Bearing alloys;Babbitt metal')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Iron', 'Gray iron', 'High carbon iron with graphite flakes', 'Machined parts;Automotive engine blocks;Manhole covers')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Iron', 'Ductile iron', 'Iron with graphite nodules', 'Diesel engine blocks;Water pipes;Hydraulic cylinders')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Iron', 'Wrought iron', 'Almost pure iron with slag inclusions', 'Gates;Railings;Decorative fences')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Tungsten', '1', 'Pure tungsten', 'Tungsten electrodes;Aerospace components;Electrical contacts')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Tungsten', '2', 'Tungsten alloy (97.5% tungsten and 2.5% nickel and iron)', 'Military projectiles;Balance weights;Radiation shielding')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Tungsten', '5', 'Tungsten alloy (90% tungsten and 6% nickel and 4% copper)', 'Aircraft ballast;Sporting goods;Dart tips')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Magnesium', 'AZ31', 'Magnesium alloy (3% aluminum and 1% zinc)', 'Aircraft seats;Portable electronics;Power tools')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Magnesium', 'AZ91', 'Magnesium alloy (9% aluminum and  1% zinc)', 'Automotive wheels;Camera bodies;Laptop cases')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Magnesium', 'HM21', 'Magnesium alloy (2% rare earth elements)', 'Military armor;Satellite components;Bicycle frames')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Nickel', 'Silver nickel', 'Nickel alloy (65% nickel and 12% chromium, 23% iron)', 'Gas turbine blades;Jet engine components;High-temperature fasteners')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Nickel', 'Inconel 625', 'Nickel-chromium alloy (61% nickel and 22% chromium, 9% molybdenum)', 'Oil and gas industry components;Chemical processing equipment;Aerospace thrust chambers')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Nickel', 'Hastelloy C276', 'Nickel-molybdenum-chromium alloy (57% nickel, 16% molybdenum, 16% chromium)', 'Corrosion-resistant vessels;Petrochemical reactors;Pharmaceutical processing equipment')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Cobalt', 'Stellite 6', 'Cobalt-chromium alloy (57% cobalt and 31% chromium, 9% tungsten)', 'Cutting tools;Valve seats;Bearings')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Cobalt', 'Haynes 188', 'Cobalt-chromium-nickel alloy (39% cobalt and 22% chromium, 20% nickel)', 'Gas turbine blades;Combustion liners;Heat exchangers')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Cobalt', 'X-750', 'Cobalt-nickel-chromium-titanium alloy (70% cobalt and 15% nickel and 7% chromium)', 'Springs;Aircraft engine components;High-temperature bolts')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Vanadium', 'Grade 2', 'Pure vanadium', 'Vanadium redox flow batteries;Alloying agent in steel production;Nuclear reactor components')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Vanadium', 'Vanadium 10V', 'Vanadium-titanium-chromium alloy (10% vanadium and 10% titanium and 1% chromium)', 'Aircraft landing gears;Drill bits;High-speed cutting tools')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Vanadium', 'Vanadis 23', 'Vanadium-chromium-molybdenum alloy (23% vanadium and 10% chromium and 3% molybdenum)', 'Injection molding tools;Extrusion dies;Forging dies')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Chromium', 'Type 304L', 'Chromium-nickel austenitic stainless steel (18% chromium and 8% nickel)', 'Food processing equipment;Chemical tanks;Architectural trim')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Chromium', 'Type 316L', 'Chromium-nickel-molybdenum austenitic stainless steel (16% chromium, 10% nickel, 2% molybdenum)', 'Pharmaceutical equipment;Marine fittings;Heat exchangers')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Chromium', 'Type 410', 'Chromium martensitic stainless steel (11.5% chromium)', 'Cutlery;Surgical instruments;Pump shafts')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Manganese', '65Mn', 'High carbon manganese spring steel (0.65% manganese and 0.7% carbon)', 'Leaf springs;Saw blades;Farm machinery components')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Manganese', 'Hadfield steel', 'High manganese austenitic steel (12-14% manganese)', 'Railroad crossings;Rock crushers;Excavator buckets')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Manganese', 'Austenitic manganese steel', 'Non-magnetic steel with high manganese content (12-14% manganese)', 'Jaw crushers;Cone crushers;Magnetic separator drums')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Molybdenum', 'Molybdenum TZM', 'Molybdenum alloy (0.5% titanium and 0.08% zirconium, 0.02% carbon)', 'Rocket nozzles;Vacuum furnace elements;Sintering trays')","('Metal', 'Grade', 'Description', 'Common Uses')"
"('Molybdenum', 'MoCu', 'Molybdenum-copper alloy (30-40% molybdenum)', 'Semiconductor heat sinks;High-power microwave devices;X-ray tube targets')","('Metal', 'Grade', 'Description', 'Common Uses')"
